Experiments,Stimuli,Stimuli_efficacy,Inhibitors,Inhibitors_efficacy,Measured_nodes,Measured_values,Predicted_values,Original_measured_values
1,,,,,"AKT1,MAPK1,TP53,CASP3,CDK2","0.13,0.14,0.05,0.09,0.26","0.13,0.14,0.05,0.09,0.26","0.05,0.05,0.05,0.05,0.05"
2,EGF,1.0,,,"AKT1,MAPK1,TP53,CASP3,CDK2","0.8,0.7,0.05,0.06,0.86","0.8,0.7,0.05,0.06,0.86","0.9,0.85,0.05,0.05,0.9"
3,DNA_DAMAGE,1.0,,,"AKT1,MAPK1,TP53,CASP3,CDK2","0.07,0.14,0.84,0.76,0.09","0.07,0.14,0.84,0.76,0.09","0.1,0.15,0.9,0.85,0.1"
4,"EGF,DNA_DAMAGE","1.0,1.0",,,"AKT1,MAPK1,TP53,CASP3,CDK2","0.69,0.7,0.35,0.22,0.6","0.69,0.7,0.35,0.22,0.6","0.75,0.7,0.4,0.3,0.6"
5,EGF,1.0,PIK3CA,1.0,"AKT1,MAPK1,TP53,CASP3,CDK2","0.31,0.69,0.05,0.08,0.73","0.31,0.69,0.05,0.08,0.73","0.3,0.8,0.1,0.15,0.45"
6,EGF,1.0,PIK3CA,0.7,"AKT1,MAPK1,TP53,CASP3,CDK2","0.19,0.71,0.05,0.08,0.7","0.19,0.71,0.05,0.08,0.7","0.25,0.78,0.12,0.2,0.4"
7,EGF,1.0,PDPK1,1.0,"AKT1,MAPK1,TP53,CASP3,CDK2","0.8,0.7,0.05,0.06,0.86","0.8,0.7,0.05,0.06,0.86","0.25,0.78,0.12,0.2,0.4"
8,EGF,1.0,PDPK1,0.5,"AKT1,MAPK1,TP53,CASP3,CDK2","0.8,0.7,0.05,0.06,0.85","0.8,0.7,0.05,0.06,0.85","0.25,0.78,0.12,0.2,0.4"
9,EGF,1.0,MAP2K1,1.0,"AKT1,MAPK1,TP53,CASP3,CDK2","0.05,0.9,0.94,0.85,0.1","0.05,0.9,0.94,0.85,0.1","0.88,0.25,0.06,0.05,0.55"
10,DNA_DAMAGE,1.0,MDM2,0.8,"AKT1,MAPK1,TP53,CASP3,CDK2","0.07,0.13,0.74,0.67,0.1","0.07,0.13,0.74,0.67,0.1","0.08,0.1,1.0,0.95,0.05"
