Experiments,Stimuli,Stimuli_efficacy,Inhibitors,Inhibitors_efficacy,Measured_nodes,Measured_values,n_patients,std,drug,mutation_profile
1,,,BCL2,1,AUC,160.39,71,75.72,Venetoclax,No mutation
2,,,BTK,1,AUC,219.26,103,45.7,Ibrutinib,No mutation
3,,,SYK,1,AUC,202.68,55,43.03,Entospletinib,No mutation
4,,,"MAP2K1,MAP2K2","1,1",AUC,203.76,114,60.35,Selumetinib,No mutation
5,,,"FLT3,KIT","1,1",AUC,207.26,113,44.81,Midostaurin,No mutation
6,FLT3,1,BCL2,1,AUC,131.74,21,87.09,Venetoclax,FLT3_ITD
7,FLT3,1,BTK,1,AUC,174.5,27,55.41,Ibrutinib,FLT3_ITD
8,FLT3,1,SYK,1,AUC,160.19,16,50.94,Entospletinib,FLT3_ITD
9,FLT3,1,"MAP2K1,MAP2K2","1,1",AUC,186.67,28,69.03,Selumetinib,FLT3_ITD
10,FLT3,1,"FLT3,KIT","1,1",AUC,149.99,30,62.17,Midostaurin,FLT3_ITD
11,,,"BCL2,NPM1","1,1",AUC,148.8,19,68.71,Venetoclax,NPM1
12,,,"BTK,NPM1","1,1",AUC,185.64,19,59.25,Ibrutinib,NPM1
13,,,"NPM1,SYK","1,1",AUC,177.2,14,46.08,Entospletinib,NPM1
14,,,"MAP2K1,MAP2K2,NPM1","1,1,1",AUC,213.16,21,75.52,Selumetinib,NPM1
15,,,"FLT3,KIT,NPM1","1,1,1",AUC,208.83,20,34.35,Midostaurin,NPM1
16,,,"BCL2,DNMT3A","1,1",AUC,179.53,9,34.22,Venetoclax,DNMT3A
17,,,"BTK,DNMT3A","1,1",AUC,205.51,13,33.15,Ibrutinib,DNMT3A
18,,,"DNMT3A,SYK","1,1",AUC,187.25,8,40.69,Entospletinib,DNMT3A
19,,,"DNMT3A,MAP2K1,MAP2K2","1,1,1",AUC,203.34,12,66.85,Selumetinib,DNMT3A
20,,,"DNMT3A,FLT3,KIT","1,1,1",AUC,204.09,13,54.77,Midostaurin,DNMT3A
21,DAB2IP,1,BCL2,1,AUC,174.09,20,62.45,Venetoclax,DAB2IP
22,DAB2IP,1,BTK,1,AUC,222.55,27,38.78,Ibrutinib,DAB2IP
23,DAB2IP,1,SYK,1,AUC,216.86,15,41.73,Entospletinib,DAB2IP
24,DAB2IP,1,"MAP2K1,MAP2K2","1,1",AUC,141.67,27,57.76,Selumetinib,DAB2IP
25,DAB2IP,1,"FLT3,KIT","1,1",AUC,228.79,26,37.78,Midostaurin,DAB2IP
26,FLT3,1,"BCL2,NPM1","1,1",AUC,119.48,11,61.96,Venetoclax,"FLT3_ITD,NPM1"
27,FLT3,1,"BTK,NPM1","1,1",AUC,183.47,15,47.5,Ibrutinib,"FLT3_ITD,NPM1"
28,FLT3,1,"NPM1,SYK","1,1",AUC,149.07,11,44.16,Entospletinib,"FLT3_ITD,NPM1"
29,FLT3,1,"MAP2K1,MAP2K2,NPM1","1,1,1",AUC,213.63,15,65.39,Selumetinib,"FLT3_ITD,NPM1"
30,FLT3,1,"FLT3,KIT,NPM1","1,1,1",AUC,162.22,16,63.89,Midostaurin,"FLT3_ITD,NPM1"
31,FLT3,1,"BCL2,DNMT3A","1,1",AUC,167.35,2,81.99,Venetoclax,"DNMT3A,FLT3_ITD"
32,FLT3,1,"BTK,DNMT3A","1,1",AUC,219.14,4,44.31,Ibrutinib,"DNMT3A,FLT3_ITD"
33,FLT3,1,"DNMT3A,SYK","1,1",AUC,192.51,2,22.18,Entospletinib,"DNMT3A,FLT3_ITD"
34,FLT3,1,"DNMT3A,MAP2K1,MAP2K2","1,1,1",AUC,189.12,4,85.41,Selumetinib,"DNMT3A,FLT3_ITD"
35,FLT3,1,"DNMT3A,FLT3,KIT","1,1,1",AUC,171.39,4,37.7,Midostaurin,"DNMT3A,FLT3_ITD"
36,,,"BCL2,DNMT3A,NPM1","1,1,1",AUC,172.78,5,80.77,Venetoclax,"DNMT3A,NPM1"
37,,,"BTK,DNMT3A,NPM1","1,1,1",AUC,184.36,8,41.32,Ibrutinib,"DNMT3A,NPM1"
38,,,"DNMT3A,NPM1,SYK","1,1,1",AUC,159.88,5,21.42,Entospletinib,"DNMT3A,NPM1"
39,,,"DNMT3A,MAP2K1,MAP2K2,NPM1","1,1,1,1",AUC,173.36,11,52.88,Selumetinib,"DNMT3A,NPM1"
40,,,"DNMT3A,FLT3,KIT,NPM1","1,1,1,1",AUC,219.51,11,40.63,Midostaurin,"DNMT3A,NPM1"
41,DAB2IP,1,"BCL2,NPM1","1,1",AUC,148.71,3,123.93,Venetoclax,"NPM1,DAB2IP"
42,DAB2IP,1,"BTK,NPM1","1,1",AUC,201.12,3,26.62,Ibrutinib,"NPM1,DAB2IP"
43,DAB2IP,1,"NPM1,SYK","1,1",AUC,185.01,2,7.22,Entospletinib,"NPM1,DAB2IP"
44,DAB2IP,1,"MAP2K1,MAP2K2,NPM1","1,1,1",AUC,184.94,3,51.46,Selumetinib,"NPM1,DAB2IP"
45,DAB2IP,1,"FLT3,KIT,NPM1","1,1,1",AUC,212.43,3,12.02,Midostaurin,"NPM1,DAB2IP"
46,DAB2IP,1,"BCL2,DNMT3A","1,1",AUC,201.03,4,58.92,Venetoclax,"DNMT3A,DAB2IP"
47,DAB2IP,1,"BTK,DNMT3A","1,1",AUC,220.58,5,22.29,Ibrutinib,"DNMT3A,DAB2IP"
48,DAB2IP,1,"DNMT3A,SYK","1,1",AUC,194.38,4,29.96,Entospletinib,"DNMT3A,DAB2IP"
49,DAB2IP,1,"DNMT3A,MAP2K1,MAP2K2","1,1,1",AUC,171.45,5,49.24,Selumetinib,"DNMT3A,DAB2IP"
50,DAB2IP,1,"DNMT3A,FLT3,KIT","1,1,1",AUC,244.36,4,15.86,Midostaurin,"DNMT3A,DAB2IP"
51,FLT3,1,"BCL2,DNMT3A,NPM1","1,1,1",AUC,145.15,11,83.5,Venetoclax,"DNMT3A,FLT3_ITD,NPM1"
52,FLT3,1,"BTK,DNMT3A,NPM1","1,1,1",AUC,162.93,12,31.5,Ibrutinib,"DNMT3A,FLT3_ITD,NPM1"
53,FLT3,1,"DNMT3A,NPM1,SYK","1,1,1",AUC,160.09,11,46.47,Entospletinib,"DNMT3A,FLT3_ITD,NPM1"
54,FLT3,1,"DNMT3A,MAP2K1,MAP2K2,NPM1","1,1,1,1",AUC,201.96,15,66.52,Selumetinib,"DNMT3A,FLT3_ITD,NPM1"
55,FLT3,1,"DNMT3A,FLT3,KIT,NPM1","1,1,1,1",AUC,160.65,14,50.41,Midostaurin,"DNMT3A,FLT3_ITD,NPM1"
56,DAB2IP,1,"BCL2,DNMT3A,NPM1","1,1,1",AUC,172.4,2,42.6,Venetoclax,"DNMT3A,NPM1,DAB2IP"
57,DAB2IP,1,"BTK,DNMT3A,NPM1","1,1,1",AUC,160.4,5,73.01,Ibrutinib,"DNMT3A,NPM1,DAB2IP"
58,DAB2IP,1,"DNMT3A,NPM1,SYK","1,1,1",AUC,120.94,2,48.44,Entospletinib,"DNMT3A,NPM1,DAB2IP"
59,DAB2IP,1,"DNMT3A,MAP2K1,MAP2K2,NPM1","1,1,1,1",AUC,154.1,6,103.52,Selumetinib,"DNMT3A,NPM1,DAB2IP"
60,DAB2IP,1,"DNMT3A,FLT3,KIT,NPM1","1,1,1,1",AUC,198.81,5,58.74,Midostaurin,"DNMT3A,NPM1,DAB2IP"
