Experiments,Stimuli,Stimuli_efficacy,Inhibitors,Inhibitors_efficacy,Measured_nodes,Measured_values,n_patients,std,drug,mutation_profile
1,,,BCL2,1,AUC,163.40,91,72.91,Venetoclax,No mutation
2,,,BTK,1,AUC,219.95,130,44.23,Ibrutinib,No mutation
3,,,SYK,1,AUC,205.72,70,42.86,Entospletinib,No mutation
4,,,"MAP2K1,MAP2K2","1,1",AUC,191.87,141,64.50,Selumetinib,No mutation
5,,,"FLT3,KIT","1,1",AUC,211.29,139,44.26,Midostaurin,No mutation
6,FLT3,1,BCL2,1,AUC,131.74,21,87.09,Venetoclax,FLT3_ITD
7,FLT3,1,BTK,1,AUC,174.50,27,55.41,Ibrutinib,FLT3_ITD
8,FLT3,1,SYK,1,AUC,160.19,16,50.94,Entospletinib,FLT3_ITD
9,FLT3,1,"MAP2K1,MAP2K2","1,1",AUC,186.67,28,69.03,Selumetinib,FLT3_ITD
10,FLT3,1,"FLT3,KIT","1,1",AUC,149.99,30,62.17,Midostaurin,FLT3_ITD
11,,,"BCL2,NPM1","1,1",AUC,148.79,22,74.22,Venetoclax,NPM1
12,,,"BTK,NPM1","1,1",AUC,187.75,22,55.73,Ibrutinib,NPM1
13,,,"NPM1,SYK","1,1",AUC,178.17,16,43.02,Entospletinib,NPM1
14,,,"MAP2K1,MAP2K2,NPM1","1,1,1",AUC,209.63,24,72.67,Selumetinib,NPM1
15,,,"FLT3,KIT,NPM1","1,1,1",AUC,209.30,23,32.16,Midostaurin,NPM1
16,,,"BCL2,DNMT3A","1,1",AUC,186.14,13,41.90,Venetoclax,DNMT3A
17,,,"BTK,DNMT3A","1,1",AUC,209.69,18,30.68,Ibrutinib,DNMT3A
18,,,"DNMT3A,SYK","1,1",AUC,189.63,12,36.21,Entospletinib,DNMT3A
19,,,"DNMT3A,MAP2K1,MAP2K2","1,1,1",AUC,193.96,17,62.48,Selumetinib,DNMT3A
20,,,"DNMT3A,FLT3,KIT","1,1,1",AUC,213.57,17,51.06,Midostaurin,DNMT3A
21,FLT3,1,"BCL2,NPM1","1,1",AUC,119.48,11,61.96,Venetoclax,"FLT3_ITD,NPM1"
22,FLT3,1,"BTK,NPM1","1,1",AUC,183.47,15,47.50,Ibrutinib,"FLT3_ITD,NPM1"
23,FLT3,1,"NPM1,SYK","1,1",AUC,149.07,11,44.16,Entospletinib,"FLT3_ITD,NPM1"
24,FLT3,1,"MAP2K1,MAP2K2,NPM1","1,1,1",AUC,213.63,15,65.39,Selumetinib,"FLT3_ITD,NPM1"
25,FLT3,1,"FLT3,KIT,NPM1","1,1,1",AUC,162.22,16,63.89,Midostaurin,"FLT3_ITD,NPM1"
26,FLT3,1,"BCL2,DNMT3A","1,1",AUC,167.35,2,81.99,Venetoclax,"DNMT3A,FLT3_ITD"
27,FLT3,1,"BTK,DNMT3A","1,1",AUC,219.14,4,44.31,Ibrutinib,"DNMT3A,FLT3_ITD"
28,FLT3,1,"DNMT3A,SYK","1,1",AUC,192.51,2,22.18,Entospletinib,"DNMT3A,FLT3_ITD"
29,FLT3,1,"DNMT3A,MAP2K1,MAP2K2","1,1,1",AUC,189.12,4,85.41,Selumetinib,"DNMT3A,FLT3_ITD"
30,FLT3,1,"DNMT3A,FLT3,KIT","1,1,1",AUC,171.39,4,37.70,Midostaurin,"DNMT3A,FLT3_ITD"
31,,,"BCL2,DNMT3A,NPM1","1,1,1",AUC,172.68,7,68.20,Venetoclax,"DNMT3A,NPM1"
32,,,"BTK,DNMT3A,NPM1","1,1,1",AUC,175.14,13,54.04,Ibrutinib,"DNMT3A,NPM1"
33,,,"DNMT3A,NPM1,SYK","1,1,1",AUC,148.75,7,32.52,Entospletinib,"DNMT3A,NPM1"
34,,,"DNMT3A,MAP2K1,MAP2K2,NPM1","1,1,1,1",AUC,166.56,17,72.02,Selumetinib,"DNMT3A,NPM1"
35,,,"DNMT3A,FLT3,KIT,NPM1","1,1,1,1",AUC,213.04,16,46.03,Midostaurin,"DNMT3A,NPM1"
36,FLT3,1,"BCL2,DNMT3A,NPM1","1,1,1",AUC,145.15,11,83.50,Venetoclax,"DNMT3A,FLT3_ITD,NPM1"
37,FLT3,1,"BTK,DNMT3A,NPM1","1,1,1",AUC,162.93,12,31.50,Ibrutinib,"DNMT3A,FLT3_ITD,NPM1"
38,FLT3,1,"DNMT3A,NPM1,SYK","1,1,1",AUC,160.09,11,46.47,Entospletinib,"DNMT3A,FLT3_ITD,NPM1"
39,FLT3,1,"DNMT3A,MAP2K1,MAP2K2,NPM1","1,1,1,1",AUC,201.96,15,66.52,Selumetinib,"DNMT3A,FLT3_ITD,NPM1"
40,FLT3,1,"DNMT3A,FLT3,KIT,NPM1","1,1,1,1",AUC,160.65,14,50.41,Midostaurin,"DNMT3A,FLT3_ITD,NPM1"
