Experiments,Stimuli,Stimuli_efficacy,Inhibitors,Inhibitors_efficacy,Measured_nodes,Measured_values,n_patients,std,drug
1,,,BTK,1,DSS,0.78,81,1.68,Ibrutinib
2,,,SYK,1,DSS,0.45,50,1.21,Entospletinib
3,,,BCL2,1,DSS,8.38,72,9.48,Venetoclax
4,,,"MAP2K1,MAP2K2","1,1",DSS,4.67,90,5.69,Selumetinib
5,,,"FLT3,KIT","1,1",DSS,5.83,86,6.15,Midostaurin
6,FLT3,1,BTK,1,DSS,0.72,5,1.61,Ibrutinib
7,FLT3,1,"MAP2K1,MAP2K2","1,1",DSS,2.02,7,1.81,Selumetinib
8,FLT3,1,"FLT3,KIT","1,1",DSS,5.27,6,2.54,Midostaurin
9,,,"BTK,NPM1","1,1",DSS,0.49,8,0.75,Ibrutinib
10,,,"NPM1,SYK","1,1",DSS,1.12,5,2.50,Entospletinib
11,,,"BCL2,NPM1","1,1",DSS,9.84,6,9.45,Venetoclax
12,,,"MAP2K1,MAP2K2,NPM1","1,1,1",DSS,3.35,8,2.96,Selumetinib
13,,,"FLT3,KIT,NPM1","1,1,1",DSS,8.93,8,4.25,Midostaurin
14,,,"BTK,DNMT3A","1,1",DSS,0.66,10,1.41,Ibrutinib
15,,,"DNMT3A,SYK","1,1",DSS,0.27,7,0.68,Entospletinib
16,,,"BCL2,DNMT3A","1,1",DSS,5.22,6,8.11,Venetoclax
17,,,"DNMT3A,MAP2K1,MAP2K2","1,1,1",DSS,3.86,10,3.17,Selumetinib
18,,,"DNMT3A,FLT3,KIT","1,1,1",DSS,2.50,10,3.16,Midostaurin
19,NRAS,1,BTK,1,DSS,0.00,9,0.00,Ibrutinib
20,NRAS,1,BCL2,1,DSS,3.94,6,11.06,Venetoclax
21,NRAS,1,"MAP2K1,MAP2K2","1,1",DSS,13.83,9,7.54,Selumetinib
22,NRAS,1,"FLT3,KIT","1,1",DSS,2.89,9,4.33,Midostaurin
23,,,"BTK,DNMT3A,NPM1","1,1,1",DSS,0.66,5,0.91,Ibrutinib
24,,,"BCL2,DNMT3A,NPM1","1,1,1",DSS,13.23,5,11.77,Venetoclax
25,,,"DNMT3A,MAP2K1,MAP2K2,NPM1","1,1,1,1",DSS,2.00,5,2.88,Selumetinib
26,,,"DNMT3A,FLT3,KIT,NPM1","1,1,1,1",DSS,5.41,5,7.40,Midostaurin
