Experiments,Stimuli,Stimuli_efficacy,Inhibitors,Inhibitors_efficacy,Measured_nodes,Measured_values,n_patients,std,drug
1,,,BTK,1,DSS,0.71,90,1.61,Ibrutinib
2,,,SYK,1,DSS,0.43,52,1.19,Entospletinib
3,,,BCL2,1,DSS,8.04,78,9.61,Venetoclax
4,,,"MAP2K1,MAP2K2","1,1",DSS,5.50,99,6.41,Selumetinib
5,,,"FLT3,KIT","1,1",DSS,5.55,95,6.04,Midostaurin
6,FLT3,1,BTK,1,DSS,0.72,5,1.61,Ibrutinib
7,FLT3,1,"MAP2K1,MAP2K2","1,1",DSS,2.02,7,1.81,Selumetinib
8,FLT3,1,"FLT3,KIT","1,1",DSS,5.27,6,2.54,Midostaurin
9,,,"BTK,NPM1","1,1",DSS,0.43,9,0.72,Ibrutinib
10,,,"NPM1,SYK","1,1",DSS,1.07,6,2.24,Entospletinib
11,,,"BCL2,NPM1","1,1",DSS,8.73,7,9.11,Venetoclax
12,,,"MAP2K1,MAP2K2,NPM1","1,1,1",DSS,3.71,9,2.98,Selumetinib
13,,,"FLT3,KIT,NPM1","1,1,1",DSS,9.02,9,3.99,Midostaurin
14,,,"BTK,DNMT3A","1,1",DSS,0.55,12,1.30,Ibrutinib
15,,,"DNMT3A,SYK","1,1",DSS,0.27,7,0.68,Entospletinib
16,,,"BCL2,DNMT3A","1,1",DSS,8.00,7,10.44,Venetoclax
17,,,"DNMT3A,MAP2K1,MAP2K2","1,1,1",DSS,5.36,13,4.14,Selumetinib
18,,,"DNMT3A,FLT3,KIT","1,1,1",DSS,3.04,12,3.88,Midostaurin
19,,,"BTK,DNMT3A,NPM1","1,1,1",DSS,0.60,6,0.83,Ibrutinib
20,,,"BCL2,DNMT3A,NPM1","1,1,1",DSS,13.23,5,11.77,Venetoclax
21,,,"DNMT3A,MAP2K1,MAP2K2,NPM1","1,1,1,1",DSS,3.49,6,4.47,Selumetinib
22,,,"DNMT3A,FLT3,KIT,NPM1","1,1,1,1",DSS,4.81,6,6.78,Midostaurin
