Sample_ID,Library,Extraction_method
AML_084_01,Nextera,Qiagen miRNeasy
AML_084_03,Nextera,M&N NS miRNA + DNA elution
AML_086_02,Scriptseq,Qiagen miRNeasy
AML_089_01,Scriptseq,Qiagen miRNeasy
AML_019_01,Scriptseq,Qiagen miRNeasy
AML_025_01,Scriptseq,AllPrep DNA/RNA/miRNA
AML_025_03,Scriptseq,AllPrep DNA/RNA/miRNA
AML_026_01,Scriptseq,Qiagen miRNeasy
AML_029_01,Scriptseq,AllPrep DNA/RNA/miRNA
AML_030_01,Scriptseq,Qiagen miRNeasy
AML_030_02,Scriptseq,Qiagen miRNeasy
AML_033_01,Scriptseq,Qiagen miRNeasy
AML_033_02,Scriptseq,Qiagen miRNeasy
AML_033_03,Scriptseq,AllPrep DNA/RNA/miRNA
AML_044_01,Scriptseq,Qiagen miRNeasy
AML_052_01,Scriptseq,Qiagen miRNeasy
AML_066_01,Scriptseq,AllPrep DNA/RNA/miRNA
AML_070_01,Scriptseq,AllPrep DNA/RNA/miRNA
AML_074_01,Scriptseq,Qiagen miRNeasy
AML_098_01,Scriptseq,Qiagen miRNeasy
AML_100_01,Scriptseq,AllPrep DNA/RNA/miRNA
AML_101_01,Scriptseq,AllPrep DNA/RNA/miRNA
AML_101_02,Scriptseq,AllPrep DNA/RNA/miRNA
AML_102_01,Scriptseq,AllPrep DNA/RNA/miRNA
AML_103_01,Scriptseq,Qiagen miRNeasy
AML_103_02,Scriptseq,Qiagen miRNeasy
AML_104_01,Scriptseq,Qiagen miRNeasy
AML_107_01,Scriptseq,Qiagen miRNeasy
AML_108_01,Scriptseq,Qiagen miRNeasy
AML_109_01,Scriptseq,Qiagen miRNeasy
AML_110_01,Scriptseq,Qiagen miRNeasy
AML_111_01,Scriptseq,Qiagen miRNeasy
AML_112_01,Scriptseq,Qiagen miRNeasy
AML_112_02,Scriptseq,Qiagen miRNeasy
AML_113_01,Scriptseq,Qiagen miRNeasy
AML_114_01,Scriptseq,Qiagen miRNeasy
AML_115_01,Scriptseq,Qiagen miRNeasy
AML_116_01,Scriptseq,Qiagen miRNeasy
AML_117_01,Scriptseq,Qiagen miRNeasy
AML_119_01,Scriptseq,AllPrep DNA/RNA/miRNA
AML_121_01,Scriptseq,Qiagen miRNeasy
AML_122_01,Scriptseq,Qiagen miRNeasy
AML_123_01,Scriptseq,Qiagen miRNeasy
AML_124_01,Scriptseq,Qiagen miRNeasy
AML_125_01,Scriptseq,Qiagen miRNeasy
AML_126_01,Scriptseq,Qiagen miRNeasy
AML_127_01,Scriptseq,Qiagen miRNeasy
AML_128_01,Scriptseq,Qiagen miRNeasy
AML_131_01,Scriptseq,Qiagen miRNeasy
AML_133_01,Scriptseq,Qiagen miRNeasy
AML_134_01,Scriptseq,Qiagen miRNeasy
AML_135_01,Scriptseq,Qiagen miRNeasy
AML_138_01,Scriptseq,AllPrep DNA/RNA/miRNA
AML_139_01,Scriptseq,AllPrep DNA/RNA/miRNA
AML_140_01,Scriptseq,Qiagen miRNeasy
AML_141_01,Scriptseq,Qiagen miRNeasy
AML_141_02,Scriptseq,Qiagen miRNeasy
AML_142_01,Scriptseq,Qiagen miRNeasy
AML_143_01,Scriptseq,Qiagen miRNeasy
AML_144_01,Scriptseq,Qiagen miRNeasy
AML_146_01,Scriptseq,Qiagen miRNeasy
AML_147_01,Scriptseq,Qiagen miRNeasy
AML_149_01,Scriptseq,AllPrep DNA/RNA/miRNA
AML_150_01,Scriptseq,AllPrep DNA/RNA/miRNA
AML_151_01,Scriptseq,Qiagen miRNeasy
AML_152_01,Scriptseq,Qiagen miRNeasy
AML_153_01,Scriptseq,Qiagen miRNeasy
AML_155_01,Scriptseq,Qiagen miRNeasy
AML_156_01,Scriptseq,Qiagen miRNeasy
AML_157_01,Scriptseq,Qiagen miRNeasy
AML_157_02,Scriptseq,Qiagen miRNeasy
AML_158_01,Scriptseq,Qiagen miRNeasy
AML_159_01,Scriptseq,Qiagen miRNeasy
AML_160_01,Scriptseq,Qiagen miRNeasy
AML_161_01,Scriptseq,Qiagen miRNeasy
AML_001_01,Nextera,Qiagen miRNeasy
AML_001_03,Scriptseq,Qiagen miRNeasy
AML_002_01,Nextera,Qiagen miRNeasy
AML_003_02,Scriptseq,AllPrep DNA/RNA/miRNA
AML_003_03,Nextera,Qiagen miRNeasy
AML_004_01,Scriptseq,Qiagen miRNeasy
AML_005_01,Scriptseq,NA
AML_006_02,Nextera,Qiagen miRNeasy
AML_007_01,Nextera,Qiagen miRNeasy
AML_007_02,Nextera,Qiagen miRNeasy
AML_008_01,Nextera,Qiagen miRNeasy
AML_012_01,Nextera,Qiagen miRNeasy
AML_013_01,Nextera,Qiagen miRNeasy
AML_014_01,Nextera,Qiagen miRNeasy
AML_015_01,Nextera,Qiagen miRNeasy
AML_015_02,Nextera,Macherey-Nagel (M&N)
AML_015_03,Scriptseq,Qiagen miRNeasy
AML_015_04,Scriptseq,Qiagen miRNeasy
AML_018_01,Nextera,Qiagen miRNeasy
AML_020_01,Nextera,Qiagen miRNeasy
AML_022_01,Nextera,Qiagen miRNeasy
Healthy1_CD34P,Nextera,Macherey-Nagel (M&N)
Healthy2_CD34P,Scriptseq,M&N NS miRNA + DNA elution
AML_023_01,Nextera,Qiagen miRNeasy
AML_023_02,Nextera,Qiagen miRNeasy
AML_023_03,Nextera,Qiagen miRNeasy
AML_023_04,Nextera,Qiagen miRNeasy
AML_024_01,Nextera,Qiagen miRNeasy
AML_027_01,Nextera,Qiagen miRNeasy
AML_028_01,Scriptseq,Qiagen miRNeasy
AML_028_02,Scriptseq,Qiagen miRNeasy
AML_028_03,Scriptseq,Qiagen miRNeasy
AML_028_04,Scriptseq,Qiagen miRNeasy
Healthy3_CD34P,Nextera,Macherey-Nagel (M&N)
AML_032_01,Scriptseq,Qiagen miRNeasy
AML_035_01,Scriptseq,Qiagen miRNeasy
AML_035_02,Scriptseq,Qiagen miRNeasy
AML_035_04,Scriptseq,Qiagen miRNeasy
AML_036_01,Scriptseq,Qiagen miRNeasy
AML_037_01,Scriptseq,Qiagen miRNeasy
AML_038_01,Scriptseq,Qiagen miRNeasy
AML_039_01,Scriptseq,Qiagen miRNeasy
AML_040_01,Scriptseq,AllPrep DNA/RNA/miRNA
AML_040_02,Scriptseq,AllPrep DNA/RNA/miRNA
AML_041_01,Scriptseq,Qiagen miRNeasy
AML_042_01,Scriptseq,Qiagen miRNeasy
AML_043_02,Scriptseq,Qiagen miRNeasy
AML_045_01,Scriptseq,Qiagen miRNeasy
AML_046_01,Scriptseq,Qiagen miRNeasy
AML_047_01,Scriptseq,Qiagen miRNeasy
AML_048_01,Scriptseq,NA
AML_049_02,Scriptseq,Qiagen miRNeasy
AML_051_01,Scriptseq,Qiagen miRNeasy
AML_053_01,Scriptseq,Qiagen miRNeasy
AML_054_01,Scriptseq,Qiagen miRNeasy
AML_055_01,Scriptseq,Qiagen miRNeasy
AML_056_01,Scriptseq,Qiagen miRNeasy
AML_056_02,Scriptseq,Qiagen miRNeasy
AML_057_01,Scriptseq,Qiagen miRNeasy
AML_058_01,Scriptseq,Qiagen miRNeasy
AML_059_01,Scriptseq,Qiagen miRNeasy
AML_060_01,Scriptseq,Qiagen miRNeasy
AML_061_01,Scriptseq,Qiagen miRNeasy
AML_062_01,Scriptseq,Qiagen miRNeasy
AML_063_01,Scriptseq,AllPrep DNA/RNA/miRNA
AML_064_01,Scriptseq,Qiagen miRNeasy
AML_065_01,Scriptseq,Qiagen miRNeasy
AML_067_01,Scriptseq,Qiagen miRNeasy
AML_068_01,Scriptseq,NA
AML_069_01,Scriptseq,Qiagen miRNeasy
AML_072_01,Scriptseq,Qiagen miRNeasy
AML_073_01,Scriptseq,Qiagen miRNeasy
AML_075_01,Scriptseq,Qiagen miRNeasy
AML_076_01,Scriptseq,Qiagen miRNeasy
AML_076_02,Scriptseq,Qiagen miRNeasy
AML_077_01,Scriptseq,Qiagen miRNeasy
AML_078_02,Scriptseq,Qiagen miRNeasy
AML_120_01,Nextera,Qiagen miRNeasy
AML_120_03,Nextera,Macherey-Nagel (M&N)
AML_129_01,Nextera,Qiagen miRNeasy
AML_129_02,Nextera,Qiagen miRNeasy
AML_129_03,Nextera,Qiagen miRNeasy
AML_132_01,Nextera,Qiagen miRNeasy
AML_175_01,Nextera,Macherey-Nagel (M&N)
AML_179_01,Nextera,Qiagen miRNeasy
AML_183_01,Scriptseq,Qiagen miRNeasy
AML_183_02,Scriptseq,Qiagen miRNeasy
AML_183_03,Scriptseq,Qiagen miRNeasy
AML_184_01,Nextera,Qiagen miRNeasy
AML_184_02,Nextera,Qiagen miRNeasy
AML_185_01,Nextera,Qiagen miRNeasy
Healthy4_CD34P,Scriptseq,Qiagen miRNeasy
