node,measured_node,baseline_mse,perturbed_mse,mse_change,mse_change_relative,sensitivity_score
AKT1,Formula,0.031307406419605825,0.03287681274779144,0.001569406328185613,0.0501289154122583,0.0501289154122583
BCL2,Formula,0.031307406419605825,0.03195625309029211,0.0006488466706862858,0.020725021485010483,0.020725021485010483
BTK,Formula,0.031307406419605825,0.031532096878967145,0.00022469045936131943,0.007176910675699095,0.007176910675699095
CCND1,Formula,0.031307406419605825,0.031307406419605825,0.0,0.0,0.0
CDKN2A,Formula,0.031307406419605825,0.03167082109274963,0.000363414673143804,0.011607945681384218,0.011607945681384218
CEBPA,Formula,0.031307406419605825,0.03184829824962724,0.0005408918300214144,0.017276800983510678,0.017276800983510678
DAB2IP,Formula,0.031307406419605825,0.031235862880361433,-7.15435392443925e-05,-0.002285195339579115,0.002285195339579115
DNMT3A,Formula,0.031307406419605825,0.03214777168801463,0.0008403652684088048,0.026842378993187303,0.026842378993187303
FBXW7,Formula,0.031307406419605825,0.03134120345033846,3.379703073263379e-05,0.0010795218958625993,0.0010795218958625993
FLT3,Formula,0.031307406419605825,0.032585785467628525,0.0012783790480227,0.04083311887573456,0.04083311887573456
GSK3B,Formula,0.031307406419605825,0.03200441211496658,0.0006970056953607556,0.022263284477128248,0.022263284477128248
HOXA9,Formula,0.031307406419605825,0.031662324592094365,0.00035491817248854,0.011336556204358004,0.011336556204358004
KIT,Formula,0.031307406419605825,0.03141605360079598,0.00010864718119015654,0.0034703347742698278,0.0034703347742698278
MAP2K1,Formula,0.031307406419605825,0.03135583012506899,4.842370546316588e-05,0.0015467172468442232,0.0015467172468442232
MAPK1,Formula,0.031307406419605825,0.034728528036526374,0.0034211216169205486,0.10927515269288225,0.10927515269288225
MEIS1,Formula,0.031307406419605825,0.0317508060065291,0.0004433995869232779,0.014162769696745148,0.014162769696745148
MYC,Formula,0.031307406419605825,0.03267276158275981,0.001365355163153982,0.043611251115932344,0.043611251115932344
NPM1,Formula,0.031307406419605825,0.03153797592120506,0.00023056950159923428,0.007364695066367534,0.007364695066367534
STAT5A,Formula,0.031307406419605825,0.031552034426790436,0.00024462800718461075,0.007813742342815592,0.007813742342815592
TP53,Formula,0.031307406419605825,0.032686330236816115,0.0013789238172102897,0.04404465188616703,0.04404465188616703
