node,measured_node,mu,mu_star,sigma
AKT1,Formula,0.0009838443869175956,0.010133608826526318,0.03266355694198423
BCL2,Formula,-0.000594841240076794,0.008890398827751255,0.03034048043832547
BTK,Formula,1.2296605273428018e-05,0.009268293406058637,0.03128101392001068
CCND1,Formula,0.00019109256353685883,0.007735183021254416,0.024753251241716973
CDKN2A,Formula,-0.03723821374040173,0.03845174553930774,0.07038090712368608
CEBPA,Formula,-0.002491843683426218,0.010677768670360048,0.02897008888806356
DAB2IP,Formula,0.0907267719146397,0.09144566827035161,0.02770543525431026
DNMT3A,Formula,0.0003214432367463288,0.008403422749990633,0.025593349151477898
FBXW7,Formula,-0.0019559643360732254,0.008890910727983646,0.025323474277417053
FLT3,Formula,0.0007037774501028201,0.007906546475487735,0.02512503583197593
GSK3B,Formula,0.0108739921606947,0.016602589776005712,0.03215425601169263
HOXA9,Formula,0.00044448561873521714,0.008864581263710708,0.03014996222081964
KIT,Formula,0.001327804791934565,0.008360971067910587,0.023103002999972186
MAP2K1,Formula,-0.007735654566320774,0.013407084219144643,0.02299239292205868
MAPK1,Formula,0.014521389671915028,0.02080608710074073,0.04242969173776794
MEIS1,Formula,-0.057925196694122896,0.06106431050334474,0.03776744792065114
MYC,Formula,-0.0027267854770244506,0.010664267225523359,0.03177947885285409
NPM1,Formula,-0.0003752360799505832,0.020750098714490104,0.034360142745136456
STAT5A,Formula,0.006056544580657255,0.010925338319303642,0.02688182716838268
TP53,Formula,-0.0016304839293198642,0.010706097070463336,0.02916241911055382
