Experiment_ID,Node,Predicted_Value,Measured_Value,Residual,Absolute_Error
1,Formula,184.51389285714288,0.78,183.73389285714288,183.73389285714288
2,Formula,171.15532142857145,0.45,170.70532142857147,170.70532142857147
3,Formula,134.01960714285715,8.38,125.63960714285716,125.63960714285716
4,Formula,167.34317857142858,4.67,162.6731785714286,162.6731785714286
5,Formula,187.71175000000002,5.83,181.88175,181.88175
6,Formula,170.89789285714286,0.72,170.17789285714287,170.17789285714287
7,Formula,153.72717857142857,2.02,151.70717857142856,151.70717857142856
8,Formula,174.09575,5.27,168.82575,168.82575
9,Formula,183.2554761904762,0.49,182.7654761904762,182.7654761904762
10,Formula,169.8969047619048,1.12,168.7769047619048,168.7769047619048
11,Formula,132.7611904761905,9.84,122.9211904761905,122.9211904761905
12,Formula,166.08476190476193,3.35,162.73476190476194,162.73476190476194
13,Formula,186.45333333333335,8.93,177.52333333333334,177.52333333333334
14,Formula,196.02480952380955,0.66,195.36480952380956,195.36480952380956
15,Formula,182.66623809523813,0.27,182.39623809523812,182.39623809523812
16,Formula,145.53052380952386,5.22,140.31052380952386,140.31052380952386
17,Formula,178.85409523809525,3.86,174.99409523809524,174.99409523809524
18,Formula,199.2226666666667,2.5,196.7226666666667,196.7226666666667
19,Formula,184.51389285714288,0.0,184.51389285714288,184.51389285714288
20,Formula,134.01960714285715,3.94,130.07960714285716,130.07960714285716
21,Formula,167.34317857142858,13.83,153.51317857142857,153.51317857142857
22,Formula,187.71175000000002,2.89,184.82175000000004,184.82175000000004
23,Formula,194.76639285714288,0.66,194.10639285714288,194.10639285714288
24,Formula,144.27210714285718,13.23,131.0421071428572,131.0421071428572
25,Formula,177.5956785714286,2.0,175.5956785714286,175.5956785714286
26,Formula,197.96425000000005,5.41,192.55425000000005,192.55425000000005
