Experiment_ID,Node,Predicted_Value,Measured_Value,Residual,Absolute_Error
1,Formula,134.01960714285715,160.39,-26.370392857142832,26.370392857142832
2,Formula,184.51389285714288,219.26,-34.74610714285711,34.74610714285711
3,Formula,171.15532142857145,202.68,-31.524678571428552,31.524678571428552
4,Formula,167.34317857142858,203.76,-36.41682142857141,36.41682142857141
5,Formula,187.71175000000002,207.26,-19.548249999999967,19.548249999999967
6,Formula,120.40360714285717,131.74,-11.33639285714284,11.33639285714284
7,Formula,170.89789285714286,174.5,-3.602107142857136,3.602107142857136
8,Formula,157.53932142857144,160.19,-2.650678571428557,2.650678571428557
9,Formula,153.72717857142857,186.67,-32.94282142857142,32.94282142857142
10,Formula,174.09575,149.99,24.10575,24.10575
11,Formula,132.7611904761905,148.8,-16.038809523809505,16.038809523809505
12,Formula,183.2554761904762,185.64,-2.3845238095237846,2.3845238095237846
13,Formula,169.8969047619048,177.2,-7.303095238095182,7.303095238095182
14,Formula,166.08476190476193,213.16,-47.07523809523806,47.07523809523806
15,Formula,186.45333333333335,208.83,-22.376666666666665,22.376666666666665
16,Formula,145.53052380952386,179.53,-33.999476190476145,33.999476190476145
17,Formula,196.02480952380955,205.51,-9.48519047619044,9.48519047619044
18,Formula,182.66623809523813,187.25,-4.583761904761872,4.583761904761872
19,Formula,178.85409523809525,203.34,-24.48590476190475,24.48590476190475
20,Formula,199.2226666666667,204.09,-4.867333333333306,4.867333333333306
21,Formula,143.73360714285718,174.09,-30.356392857142822,30.356392857142822
22,Formula,194.22789285714288,222.55,-28.322107142857135,28.322107142857135
23,Formula,180.86932142857145,216.86,-35.99067857142856,35.99067857142856
24,Formula,177.05717857142858,141.67,35.38717857142859,35.38717857142859
25,Formula,197.42575000000002,228.79,-31.36424999999997,31.36424999999997
26,Formula,119.14519047619049,119.48,-0.33480952380951123,0.33480952380951123
27,Formula,169.63947619047622,183.47,-13.830523809523783,13.830523809523783
28,Formula,156.2809047619048,149.07,7.2109047619048,7.2109047619048
29,Formula,152.46876190476192,213.63,-61.161238095238076,61.161238095238076
30,Formula,172.83733333333336,162.22,10.617333333333363,10.617333333333363
31,Formula,131.91452380952384,167.35,-35.43547619047615,35.43547619047615
32,Formula,182.40880952380954,219.14,-36.73119047619045,36.73119047619045
33,Formula,169.05023809523814,192.51,-23.459761904761848,23.459761904761848
34,Formula,165.23809523809527,189.12,-23.881904761904735,23.881904761904735
35,Formula,185.6066666666667,171.39,14.216666666666725,14.216666666666725
36,Formula,144.27210714285718,172.78,-28.50789285714282,28.50789285714282
37,Formula,194.76639285714288,184.36,10.406392857142862,10.406392857142862
38,Formula,181.40782142857148,159.88,21.527821428571485,21.527821428571485
39,Formula,177.5956785714286,173.36,4.235678571428593,4.235678571428593
40,Formula,197.96425000000005,219.51,-21.54574999999994,21.54574999999994
41,Formula,142.4751904761905,148.71,-6.234809523809503,6.234809523809503
42,Formula,192.9694761904762,201.12,-8.150523809523804,8.150523809523804
43,Formula,179.6109047619048,185.01,-5.399095238095185,5.399095238095185
44,Formula,175.79876190476193,184.94,-9.141238095238066,9.141238095238066
45,Formula,196.16733333333337,212.43,-16.262666666666632,16.262666666666632
46,Formula,155.24452380952386,201.03,-45.785476190476146,45.785476190476146
47,Formula,205.73880952380955,220.58,-14.841190476190462,14.841190476190462
48,Formula,192.38023809523816,194.38,-1.99976190476184,1.99976190476184
49,Formula,188.56809523809528,171.45,17.118095238095293,17.118095238095293
50,Formula,208.93666666666672,244.36,-35.42333333333329,35.42333333333329
51,Formula,130.6561071428572,145.15,-14.49389285714281,14.49389285714281
52,Formula,181.1503928571429,162.93,18.220392857142883,18.220392857142883
53,Formula,167.79182142857147,160.09,7.7018214285714635,7.7018214285714635
54,Formula,163.9796785714286,201.96,-37.980321428571415,37.980321428571415
55,Formula,184.34825000000004,160.65,23.69825000000003,23.69825000000003
56,Formula,153.98610714285718,172.4,-18.413892857142827,18.413892857142827
57,Formula,204.4803928571429,160.4,44.0803928571429,44.0803928571429
58,Formula,191.12182142857148,120.94,70.18182142857148,70.18182142857148
59,Formula,187.3096785714286,154.1,33.20967857142861,33.20967857142861
60,Formula,207.67825000000005,198.81,8.868250000000046,8.868250000000046
