Experiment_ID,Node,Predicted_Value,Measured_Value,Residual,Absolute_Error
1,Formula,134.01960714285715,143.51,-9.490392857142837,9.490392857142837
2,Formula,184.51389285714288,190.71,-6.19610714285713,6.19610714285713
3,Formula,171.15532142857145,176.01,-4.854678571428536,4.854678571428536
4,Formula,167.34317857142858,185.68,-18.336821428571426,18.336821428571426
5,Formula,187.71175000000002,186.52,1.1917500000000132,1.1917500000000132
6,Formula,120.40360714285717,66.56,53.84360714285717,53.84360714285717
7,Formula,170.89789285714286,152.69,18.207892857142866,18.207892857142866
8,Formula,157.53932142857144,130.95,26.589321428571452,26.589321428571452
9,Formula,153.72717857142857,203.45,-49.72282142857142,49.72282142857142
10,Formula,174.09575,157.27,16.82575,16.82575
11,Formula,132.7611904761905,126.12,6.641190476190502,6.641190476190502
12,Formula,183.2554761904762,179.14,4.115476190476215,4.115476190476215
13,Formula,169.8969047619048,181.49,-11.593095238095202,11.593095238095202
14,Formula,166.08476190476193,219.19,-53.105238095238064,53.105238095238064
15,Formula,186.45333333333335,221.31,-34.856666666666655,34.856666666666655
16,Formula,145.53052380952386,145.53,0.0005238095238553342,0.0005238095238553342
17,Formula,196.02480952380955,198.97,-2.9451904761904473,2.9451904761904473
18,Formula,182.66623809523813,176.85,5.816238095238134,5.816238095238134
19,Formula,178.85409523809525,208.02,-29.165904761904756,29.165904761904756
20,Formula,199.2226666666667,195.17,4.05266666666671,4.05266666666671
21,Formula,143.73360714285718,162.58,-18.84639285714283,18.84639285714283
22,Formula,194.22789285714288,200.34,-6.112107142857127,6.112107142857127
23,Formula,180.86932142857145,180.63,0.23932142857145777,0.23932142857145777
24,Formula,177.05717857142858,94.72,82.33717857142858,82.33717857142858
25,Formula,197.42575000000002,212.82,-15.394249999999971,15.394249999999971
26,Formula,119.14519047619049,62.1,57.04519047619049,57.04519047619049
27,Formula,169.63947619047622,140.41,29.22947619047622,29.22947619047622
28,Formula,156.2809047619048,120.19,36.090904761904795,36.090904761904795
29,Formula,152.46876190476192,207.8,-55.33123809523809,55.33123809523809
30,Formula,172.83733333333336,148.12,24.717333333333357,24.717333333333357
31,Formula,131.91452380952384,140.49,-8.575476190476166,8.575476190476166
32,Formula,182.40880952380954,192.59,-10.181190476190466,10.181190476190466
33,Formula,169.05023809523814,183.65,-14.599761904761863,14.599761904761863
34,Formula,165.23809523809527,199.5,-34.26190476190473,34.26190476190473
35,Formula,185.6066666666667,169.45,16.156666666666723,16.156666666666723
36,Formula,130.11760714285717,74.45,55.667607142857165,55.667607142857165
37,Formula,180.61189285714286,210.58,-29.96810714285715,29.96810714285715
38,Formula,167.25332142857147,214.77,-47.51667857142854,47.51667857142854
39,Formula,163.4411785714286,159.96,3.481178571428586,3.481178571428586
40,Formula,183.80975000000004,228.91,-45.10024999999996,45.10024999999996
41,Formula,144.27210714285718,198.44,-54.16789285714282,54.16789285714282
42,Formula,194.76639285714288,181.93,12.836392857142869,12.836392857142869
43,Formula,181.40782142857148,166.63,14.777821428571485,14.777821428571485
44,Formula,177.5956785714286,147.3,30.295678571428596,30.295678571428596
45,Formula,197.96425000000005,205.62,-7.655749999999955,7.655749999999955
46,Formula,142.4751904761905,124.83,17.645190476190507,17.645190476190507
47,Formula,192.9694761904762,208.52,-15.55052380952381,15.55052380952381
48,Formula,179.6109047619048,214.46,-34.8490952380952,34.8490952380952
49,Formula,175.79876190476193,140.38,35.418761904761936,35.418761904761936
50,Formula,196.16733333333337,208.63,-12.462666666666621,12.462666666666621
51,Formula,155.24452380952386,140.39,14.854523809523869,14.854523809523869
52,Formula,205.73880952380955,206.24,-0.5011904761904589,0.5011904761904589
53,Formula,192.38023809523816,248.58,-56.19976190476186,56.19976190476186
54,Formula,188.56809523809528,118.46,70.10809523809529,70.10809523809529
55,Formula,208.93666666666672,170.34,38.59666666666672,38.59666666666672
56,Formula,130.6561071428572,148.92,-18.263892857142793,18.263892857142793
57,Formula,181.1503928571429,152.53,28.62039285714289,28.62039285714289
58,Formula,167.79182142857147,135.04,32.751821428571475,32.751821428571475
59,Formula,163.9796785714286,179.42,-15.440321428571394,15.440321428571394
60,Formula,184.34825000000004,165.41,18.93825000000004,18.93825000000004
61,Formula,153.98610714285718,192.43,-38.44389285714283,38.44389285714283
62,Formula,204.4803928571429,212.68,-8.199607142857104,8.199607142857104
63,Formula,191.12182142857148,125.26,65.86182142857147,65.86182142857147
64,Formula,187.3096785714286,186.49,0.8196785714285966,0.8196785714285966
65,Formula,207.67825000000005,174.36,33.318250000000035,33.318250000000035
66,Formula,140.3701071428572,198.28,-57.90989285714281,57.90989285714281
67,Formula,190.8643928571429,204.22,-13.35560714285711,13.35560714285711
68,Formula,177.5058214285715,190.02,-12.514178571428516,12.514178571428516
69,Formula,173.69367857142862,140.79,32.90367857142863,32.90367857142863
70,Formula,194.06225000000006,232.39,-38.327749999999924,38.327749999999924
