Experiment_ID,Node,Predicted_Value,Measured_Value,Residual,Absolute_Error
1,Formula,189.08379999999957,0.78,188.30379999999957,188.30379999999957
2,Formula,177.8696999999998,0.45,177.4196999999998,177.4196999999998
3,Formula,139.31624999999977,8.38,130.93624999999977,130.93624999999977
4,Formula,188.9059000000001,4.67,184.2359000000001,184.2359000000001
5,Formula,193.64784999999978,5.83,187.81784999999977,187.81784999999977
6,Formula,160.25164999999967,0.72,159.53164999999967,159.53164999999967
7,Formula,195.64060000000006,2.02,193.62060000000005,193.62060000000005
8,Formula,158.48705000000024,5.27,153.21705000000023,153.21705000000023
9,Formula,184.06119999999973,0.49,183.57119999999972,183.57119999999972
10,Formula,180.2605500000002,1.12,179.1405500000002,179.1405500000002
11,Formula,130.10234999999994,9.84,120.26234999999994,120.26234999999994
12,Formula,201.62729999999996,3.35,198.27729999999997,198.27729999999997
13,Formula,209.44984999999988,8.93,200.51984999999988,200.51984999999988
14,Formula,195.55730000000023,0.66,194.89730000000023,194.89730000000023
15,Formula,178.84199999999962,0.27,178.5719999999996,178.5719999999996
16,Formula,149.23969999999974,5.22,144.01969999999974,144.01969999999974
17,Formula,188.6510499999999,3.86,184.7910499999999,184.7910499999999
18,Formula,194.03789999999938,2.5,191.53789999999938,191.53789999999938
19,Formula,189.08379999999957,0.0,189.08379999999957,189.08379999999957
20,Formula,139.31624999999977,3.94,135.37624999999977,135.37624999999977
21,Formula,188.9059000000001,13.83,175.07590000000008,175.07590000000008
22,Formula,193.64784999999978,2.89,190.7578499999998,190.7578499999998
23,Formula,183.11795,0.66,182.45795,182.45795
24,Formula,183.41124999999968,13.23,170.1812499999997,170.1812499999997
25,Formula,164.69509999999954,2.0,162.69509999999954,162.69509999999954
26,Formula,200.34779999999995,5.41,194.93779999999995,194.93779999999995
