Experiment_ID,Node,Predicted_Value,Measured_Value,Residual,Absolute_Error
1,Formula,139.31624999999977,143.51,-4.193750000000222,4.193750000000222
2,Formula,189.08379999999957,190.71,-1.6262000000004377,1.6262000000004377
3,Formula,177.8696999999998,176.01,1.8596999999998047,1.8596999999998047
4,Formula,188.9059000000001,185.68,3.225900000000081,3.225900000000081
5,Formula,193.64784999999978,186.52,7.127849999999768,7.127849999999768
6,Formula,70.62379999999999,66.56,4.063799999999986,4.063799999999986
7,Formula,160.25164999999967,152.69,7.561649999999673,7.561649999999673
8,Formula,143.14270000000027,130.95,12.192700000000286,12.192700000000286
9,Formula,195.64060000000006,203.45,-7.8093999999999255,7.8093999999999255
10,Formula,158.48705000000024,157.27,1.2170500000002278,1.2170500000002278
11,Formula,130.10234999999994,126.12,3.98234999999994,3.98234999999994
12,Formula,184.06119999999973,179.14,4.921199999999743,4.921199999999743
13,Formula,180.2605500000002,181.49,-1.2294499999998152,1.2294499999998152
14,Formula,201.62729999999996,219.19,-17.562700000000035,17.562700000000035
15,Formula,209.44984999999988,221.31,-11.860150000000118,11.860150000000118
16,Formula,149.23969999999974,145.53,3.709699999999742,3.709699999999742
17,Formula,195.55730000000023,198.97,-3.4126999999997736,3.4126999999997736
18,Formula,178.84199999999962,176.85,1.9919999999996207,1.9919999999996207
19,Formula,188.6510499999999,208.02,-19.368950000000098,19.368950000000098
20,Formula,194.03789999999938,195.17,-1.1321000000006052,1.1321000000006052
21,Formula,149.1042000000005,162.58,-13.47579999999951,13.47579999999951
22,Formula,202.16064999999963,200.34,1.820649999999631,1.820649999999631
23,Formula,193.83594999999985,180.63,13.20594999999986,13.20594999999986
24,Formula,118.70830000000007,94.72,23.988300000000066,23.988300000000066
25,Formula,204.94844999999972,212.82,-7.871550000000269,7.871550000000269
26,Formula,71.67825000000015,62.1,9.578250000000146,9.578250000000146
27,Formula,146.51869999999982,140.41,6.108699999999828,6.108699999999828
28,Formula,128.02014999999986,120.19,7.830149999999861,7.830149999999861
29,Formula,197.28029999999998,207.8,-10.519700000000029,10.519700000000029
30,Formula,154.3747999999998,148.12,6.25479999999979,6.25479999999979
31,Formula,136.5845000000002,140.49,-3.905499999999819,3.905499999999819
32,Formula,182.76104999999978,192.59,-9.82895000000022,9.82895000000022
33,Formula,174.4915500000005,183.65,-9.158449999999505,9.158449999999505
34,Formula,195.89299999999986,199.5,-3.6070000000001414,3.6070000000001414
35,Formula,172.34780000000023,169.45,2.8978000000002453,2.8978000000002453
36,Formula,80.89470000000019,74.45,6.444700000000182,6.444700000000182
37,Formula,208.70885000000072,210.58,-1.8711499999992895,1.8711499999992895
38,Formula,204.36519999999976,214.77,-10.40480000000025,10.40480000000025
39,Formula,151.55364999999972,159.96,-8.406350000000288,8.406350000000288
40,Formula,218.02220000000023,228.91,-10.887799999999771,10.887799999999771
41,Formula,183.41124999999968,198.44,-15.028750000000315,15.028750000000315
42,Formula,183.11795,181.93,1.1879500000000007,1.1879500000000007
43,Formula,164.2241000000002,166.63,-2.4058999999998036,2.4058999999998036
44,Formula,164.69509999999954,147.3,17.39509999999953,17.39509999999953
45,Formula,200.34779999999995,205.62,-5.272200000000055,5.272200000000055
46,Formula,132.57335000000046,124.83,7.743350000000461,7.743350000000461
47,Formula,206.68869999999967,208.52,-1.8313000000003399,1.8313000000003399
48,Formula,198.37029999999945,214.46,-16.089700000000562,16.089700000000562
49,Formula,150.4816000000002,140.38,10.101600000000218,10.101600000000218
50,Formula,206.78944999999982,208.63,-1.840550000000178,1.840550000000178
51,Formula,151.06169999999972,140.39,10.671699999999731,10.671699999999731
52,Formula,207.52395000000013,206.24,1.283950000000118,1.283950000000118
53,Formula,211.21745000000038,248.58,-37.36254999999963,37.36254999999963
54,Formula,131.97869999999975,118.46,13.518699999999754,13.518699999999754
55,Formula,183.27720000000005,170.34,12.937200000000047,12.937200000000047
56,Formula,149.14539999999946,148.92,0.22539999999946758,0.22539999999946758
57,Formula,158.0275499999997,152.53,5.4975499999997055,5.4975499999997055
58,Formula,146.76795000000027,135.04,11.727950000000277,11.727950000000277
59,Formula,180.65784999999937,179.42,1.2378499999993835,1.2378499999993835
60,Formula,166.38384999999988,165.41,0.9738499999998851,0.9738499999998851
61,Formula,186.94010000000006,192.43,-5.489899999999949,5.489899999999949
62,Formula,201.11080000000013,212.68,-11.569199999999881,11.569199999999881
63,Formula,154.8788499999997,125.26,29.618849999999682,29.618849999999682
64,Formula,167.69455000000042,186.49,-18.79544999999959,18.79544999999959
65,Formula,180.85970000000026,174.36,6.499700000000246,6.499700000000246
66,Formula,174.95549999999952,198.28,-23.324500000000484,23.324500000000484
67,Formula,199.60850000000025,204.22,-4.611499999999751,4.611499999999751
68,Formula,186.08874999999998,190.02,-3.931250000000034,3.931250000000034
69,Formula,152.65350000000043,140.79,11.863500000000442,11.863500000000442
70,Formula,213.0058499999997,232.39,-19.38415000000029,19.38415000000029
