Experiment_ID,Node,Predicted_Value,Measured_Value,Residual,Absolute_Error,Original_Measured_Value
1,Formula,0.7942857142857143,163.4,-162.6057142857143,162.6057142857143,163.4
2,Formula,1.4530386740331493,219.95,-218.49696132596685,218.49696132596685,219.95
3,Formula,0.9010238907849828,205.72,-204.81897610921501,204.81897610921501,205.72
4,Formula,1.2408732999284182,191.87,-190.6291267000716,190.6291267000716,191.87
5,Formula,0.6967213114754099,211.29,-210.59327868852458,210.59327868852458,211.29
6,Formula,0.04999999999999999,131.74,-131.69,131.69,131.74
7,Formula,0.81,174.5,-173.69,173.69,174.5
8,Formula,0.510204081632653,160.19,-159.67979591836735,159.67979591836735,160.19
9,Formula,0.6891891891891893,186.67,-185.9808108108108,185.9808108108108,186.67
10,Formula,0.6967213114754099,149.99,-149.2932786885246,149.2932786885246,149.99
11,Formula,0.09826589595375723,148.79,-148.69173410404625,148.69173410404625,148.79
12,Formula,0.95,187.75,-186.8,186.8,187.75
13,Formula,0.8254716981132076,178.17,-177.34452830188678,177.34452830188678,178.17
14,Formula,1.2594594594594593,209.63,-208.37054054054053,208.37054054054053,209.63
15,Formula,0.7953216374269005,209.3,-208.50467836257312,208.50467836257312,209.3
16,Formula,0.4675324675324676,186.14,-185.67246753246752,185.67246753246752,186.14
17,Formula,1.3376623376623378,209.69,-208.35233766233765,208.35233766233765,209.69
18,Formula,1.1291666666666664,189.63,-188.50083333333333,188.50083333333333,189.63
19,Formula,0.8993288590604028,193.96,-193.0606711409396,193.0606711409396,193.96
20,Formula,1.52,213.57,-212.04999999999998,212.04999999999998,213.57
21,Formula,-0.30869565217391326,119.48,-119.78869565217391,119.78869565217391,119.48
22,Formula,0.52,183.47,-182.95,182.95,183.47
23,Formula,0.31645569620253156,149.07,-148.75354430379747,148.75354430379747,149.07
24,Formula,1.37,213.63,-212.26,212.26,213.63
25,Formula,0.7953216374269005,162.22,-161.4246783625731,161.4246783625731,162.22
26,Formula,0.6542056074766356,167.35,-166.69579439252337,166.69579439252337,167.35
27,Formula,1.2149532710280373,219.14,-217.92504672897195,217.92504672897195,219.14
28,Formula,0.8490566037735847,192.51,-191.6609433962264,191.6609433962264,192.51
29,Formula,0.9399999999999997,189.12,-188.18,188.18,189.12
30,Formula,0.8099999999999999,171.39,-170.57999999999998,170.57999999999998,171.39
31,Formula,0.5818181818181818,172.68,-172.0981818181818,172.0981818181818,172.68
32,Formula,0.9900000000000001,175.14,-174.14999999999998,174.14999999999998,175.14
33,Formula,0.46999999999999986,148.75,-148.28,148.28,148.75
34,Formula,1.09,166.56,-165.47,165.47,166.56
35,Formula,1.26,213.04,-211.78,211.78,213.04
36,Formula,0.0461538461538461,145.15,-145.10384615384615,145.10384615384615,145.15
37,Formula,0.7794871794871794,162.93,-162.15051282051283,162.15051282051283,162.93
38,Formula,0.5200000000000001,160.09,-159.57,159.57,160.09
39,Formula,1.3056640625,201.96,-200.6543359375,200.6543359375,201.96
40,Formula,0.4600000000000001,160.65,-160.19,160.19,160.65
