node,measured_node,baseline_mse,perturbed_mse,mse_change,mse_change_relative,sensitivity_score
AKT1,Formula,0.01896596947149026,0.02108515180982399,0.00211918233833373,0.11173604078184853,0.11173604078184853
BCL2,Formula,0.01896596947149026,0.020614981352237303,0.0016490118807470436,0.08694582595558041,0.08694582595558041
BTK,Formula,0.01896596947149026,0.020067595612897504,0.001101626141407245,0.05808435698808937,0.05808435698808937
CCND1,Formula,0.01896596947149026,0.01896596947149026,0.0,0.0,0.0
CDKN2A,Formula,0.01896596947149026,0.019361837672058044,0.0003958682005677852,0.020872552872282974,0.020872552872282974
CEBPA,Formula,0.01896596947149026,0.01964260123838771,0.0006766317668974522,0.03567609701758555,0.03567609701758555
CTNNB1,Formula,0.01896596947149026,0.01924041511651782,0.0002744456450275608,0.014470425328908645,0.014470425328908645
DNMT3A,Formula,0.01896596947149026,0.032559049267290766,0.013593079795800506,0.7167089357722363,0.7167089357722363
FBXW7,Formula,0.01896596947149026,0.018917637802002764,-4.833166948749537e-05,-0.002548336353706979,0.002548336353706979
FLT3,Formula,0.01896596947149026,0.02371723738298455,0.00475126791149429,0.2505154254643518,0.2505154254643518
GSK3B,Formula,0.01896596947149026,0.020260590103706903,0.0012946206322166434,0.06826018749859973,0.06826018749859973
HOXA9,Formula,0.01896596947149026,0.019121301485629773,0.00015533201413951356,0.00819003818249362,0.00819003818249362
MAP2K1,Formula,0.01896596947149026,0.021154623192490313,0.0021886537210000535,0.11539898997992425,0.11539898997992425
MAPK1,Formula,0.01896596947149026,0.02424908202213641,0.00528311255064615,0.2785574741427139,0.2785574741427139
MEIS1,Formula,0.01896596947149026,0.020513308858238922,0.0015473393867486626,0.08158504046284747,0.08158504046284747
MYC,Formula,0.01896596947149026,0.019576637409261806,0.0006106679377715467,0.03219808714178866,0.03219808714178866
NPM1,Formula,0.01896596947149026,0.020464460379782896,0.0014984909082926372,0.07900945483146413,0.07900945483146413
STAT5A,Formula,0.01896596947149026,0.02080132666995645,0.0018353571984661907,0.0967710720627864,0.0967710720627864
TP53,Formula,0.01896596947149026,0.020389604892823883,0.0014236354213336237,0.07506262326709108,0.07506262326709108
