node,measured_node,mu,mu_star,sigma
AKT1,Formula,-0.009179990322227953,0.01048363865063389,0.024156520501740594
BCL2,Formula,7.342327518182982e-05,0.004518941984169432,0.015044093813979366
BTK,Formula,0.00011337863037204007,0.0032719856597511997,0.01126623238930211
CCND1,Formula,0.0003893806020121838,0.004607191014189497,0.015302754225061024
CDKN2A,Formula,0.0023479896975308954,0.005069260064060009,0.01436134434072615
CEBPA,Formula,-0.0026779891128836373,0.00545368261528986,0.013508857161423402
CTNNB1,Formula,-8.503306420787063e-05,0.0043723174742243565,0.014335107877445788
DNMT3A,Formula,0.000814004781536834,0.0037778448643204193,0.010915535862070398
FBXW7,Formula,-0.00041710794597268804,0.0039908240992293925,0.0129607270747859
FLT3,Formula,-0.0002822685662789162,0.004297533487192126,0.014519647512208949
GSK3B,Formula,0.0038538998648499053,0.006672455808594079,0.016644944104433707
HOXA9,Formula,-0.0016167245253154276,0.0049200545395561585,0.01440600127702387
MAP2K1,Formula,0.004115949970205866,0.010433899125370062,0.015142163626096784
MAPK1,Formula,0.007282393124135054,0.009142034184688366,0.022386939579394693
MEIS1,Formula,0.01709226758701061,0.025562048180878073,0.029295751644427666
MYC,Formula,0.00016636650479132193,0.005080733444621709,0.014152542706182944
NPM1,Formula,0.00943961796863078,0.02670341916970408,0.032176079404985264
STAT5A,Formula,-0.002262938287778181,0.005549899151881169,0.015327011472877388
TP53,Formula,0.002858016847196314,0.006298578747572412,0.01620407715693156
