Experiment_ID,Node,Predicted_Value,Measured_Value,Residual,Absolute_Error,Original_Measured_Value
1,Formula,0.7850000000000001,0.03395061728395061,0.7510493827160495,0.7510493827160495,0.71
2,Formula,0.5414519906323183,0.012345679012345677,0.5291063116199727,0.5291063116199727,0.43
3,Formula,0.29999999999999993,0.599537037037037,-0.29953703703703705,0.29953703703703705,8.04
4,Formula,0.5537493445201888,0.4035493827160494,0.15019996180413936,0.15019996180413936,5.5
5,Formula,0.6424242424242423,0.40740740740740733,0.235016835016835,0.235016835016835,5.55
6,Formula,0.24401197604790412,0.03472222222222222,0.2092897538256819,0.2092897538256819,0.72
7,Formula,0.7099999999999999,0.13503086419753085,0.574969135802469,0.574969135802469,2.02
8,Formula,0.6424242424242423,0.38580246913580246,0.2566217732884399,0.2566217732884399,5.27
9,Formula,0.71,0.012345679012345677,0.6976543209876543,0.6976543209876543,0.43
10,Formula,0.7450980392156863,0.06172839506172839,0.6833696441539578,0.6833696441539578,1.07
11,Formula,-0.13492063492063494,0.6527777777777778,-0.7876984126984128,0.7876984126984128,8.73
12,Formula,1.1391509433962264,0.26543209876543206,0.8737188446307943,0.8737188446307943,3.71
13,Formula,0.5800000000000001,0.6751543209876543,-0.0951543209876542,0.0951543209876542,9.02
14,Formula,0.99,0.02160493827160494,0.9683950617283951,0.9683950617283951,0.55
15,Formula,0.8068181818181819,0.0,0.8068181818181819,0.8068181818181819,0.27
16,Formula,0.11000000000000004,0.5964506172839507,-0.4864506172839506,0.4864506172839506,8.0
17,Formula,0.45999999999999996,0.3927469135802469,0.06725308641975308,0.06725308641975308,5.36
18,Formula,0.9117647058823529,0.21373456790123455,0.6980301379811183,0.6980301379811183,3.04
19,Formula,1.0999999999999999,0.025462962962962958,1.0745370370370368,1.0745370370370368,0.6
20,Formula,0.39999999999999997,1.0,-0.6000000000000001,0.6000000000000001,13.23
21,Formula,0.6636363636363638,0.24845679012345678,0.415179573512907,0.415179573512907,3.49
22,Formula,0.7200000000000001,0.35030864197530853,0.36969135802469155,0.36969135802469155,4.81
