Experiment_ID,Node,Predicted_Value,Measured_Value,Residual,Absolute_Error,Original_Measured_Value
1,Formula,0.39837398373983746,155.79,-155.39162601626015,155.39162601626015,155.79
2,Formula,1.0902255639097742,208.86,-207.76977443609024,207.76977443609024,208.86
3,Formula,0.8114104595879557,190.9,-190.08858954041204,190.08858954041204,190.9
4,Formula,0.7841035120147875,182.7,-181.9158964879852,181.9158964879852,182.7
5,Formula,0.7471698113207547,203.41,-202.66283018867924,202.66283018867924,203.41
6,Formula,-0.09999999999999984,106.12,-106.22,106.22,106.12
7,Formula,0.74,169.87,-169.13,169.13,169.87
8,Formula,0.42342342342342354,152.86,-152.43657657657658,152.43657657657658,152.86
9,Formula,0.8670520231213871,190.5,-189.63294797687863,189.63294797687863,190.5
10,Formula,0.7471698113207547,155.56,-154.81283018867924,154.81283018867924,155.56
11,Formula,0.091743119266055,137.37,-137.27825688073395,137.27825688073395,137.37
12,Formula,0.8623853211009175,185.31,-184.44761467889907,184.44761467889907,185.31
13,Formula,0.9171270718232044,181.86,-180.9428729281768,180.9428729281768,181.86
14,Formula,1.1448598130841123,210.19,-209.0451401869159,209.0451401869159,210.19
15,Formula,0.7745664739884393,214.32,-213.54543352601155,213.54543352601155,214.32
16,Formula,0.35000000000000003,163.84,-163.49,163.49,163.84
17,Formula,1.1599999999999997,205.68,-204.52,204.52,205.68
18,Formula,0.8500000000000001,190.34,-189.49,189.49,190.34
19,Formula,0.859504132231405,191.1,-190.2404958677686,190.2404958677686,191.1
20,Formula,1.1999999999999997,202.61,-201.41000000000003,201.41000000000003,202.61
21,Formula,-0.390909090909091,95.32,-95.71090909090908,95.71090909090908,95.32
22,Formula,0.37272727272727263,169.77,-169.39727272727274,169.39727272727274,169.77
23,Formula,0.14423076923076916,136.91,-136.76576923076922,136.76576923076922,136.91
24,Formula,1.1773049645390072,211.61,-210.432695035461,210.432695035461,211.61
25,Formula,0.7745664739884393,157.14,-156.36543352601154,156.36543352601154,157.14
26,Formula,0.51,151.24,-150.73000000000002,150.73000000000002,151.24
27,Formula,0.94,207.76,-206.82,206.82,207.76
28,Formula,0.7000000000000001,187.2,-186.5,186.5,187.2
29,Formula,0.8921161825726143,194.31,-193.4178838174274,193.4178838174274,194.31
30,Formula,0.6400000000000001,170.42,-169.78,169.78,170.42
36,Formula,0.050000000000000044,151.12,-151.07,151.07,151.12
37,Formula,0.8,161.31,-160.51,160.51,161.31
38,Formula,0.26999999999999996,151.1,-150.82999999999998,150.82999999999998,151.1
39,Formula,0.976274165202109,188.74,-187.7637258347979,187.7637258347979,188.74
40,Formula,0.39,167.81,-167.42000000000002,167.42000000000002,167.81
