Experiment_ID,Node,Predicted_Value,Measured_Value,Residual,Absolute_Error,Original_Predicted_Value,Original_Measured_Value
1,Formula,0.5443691753294179,0.5199931206466591,0.02437605468275872,0.02437605468275872,0.5816733067729083,155.79
2,Formula,0.9380976566126558,0.9763522228910483,-0.03825456627839252,0.03825456627839252,1.2338308457711442,208.86
3,Formula,0.779417843850676,0.8219107403904032,-0.04249289653972721,0.04249289653972721,0.9709993740872105,190.9
4,Formula,0.7683964284758107,0.751397368647347,0.016999059828463725,0.016999059828463725,0.9527439024390245,182.7
6,Formula,0.17333468137962904,0.09287127010061062,0.08046341127901842,0.08046341127901842,-0.032894736842105365,106.12
7,Formula,0.5837666339283997,0.6410697394444922,-0.05730310551609252,0.05730310551609252,0.6469298245614037,169.87
8,Formula,0.5614709110867182,0.4947974890360307,0.06667342205068749,0.06667342205068749,0.6100000000000003,152.86
9,Formula,0.8391877058177827,0.8184710637200102,0.020716642097772464,0.020716642097772464,1.0699999999999998,190.5
11,Formula,0.3229218640854206,0.36159600997506236,-0.03867414588964174,0.03867414588964174,0.21487603305785125,137.37
12,Formula,0.8476602496102723,0.7738412589216613,0.07381899068861097,0.07381899068861097,1.084033613445378,185.31
13,Formula,0.8582682249628721,0.7441740476395219,0.11409417732335025,0.11409417732335025,1.1016042780748663,181.86
14,Formula,0.9569154774972559,0.9877891478201047,-0.030873670322848823,0.030873670322848823,1.2650000000000001,210.19
16,Formula,0.49506037321624596,0.589216613638318,-0.09415624042207205,0.09415624042207205,0.5,163.84
17,Formula,1.0,0.949006793361424,0.05099320663857598,0.05099320663857598,1.3363636363636362,205.68
18,Formula,0.7377980467821699,0.8170951930518531,-0.0792971462696832,0.0792971462696832,0.9020618556701031,190.34
19,Formula,0.8210757409440177,0.8236305787255996,-0.0025548377815819423,0.0025548377815819423,1.04,191.1
21,Formula,0.0,0.0,0.0,0.0,-0.32,95.32
22,Formula,0.4648737650933041,0.640209820276894,-0.1753360551835899,0.1753360551835899,0.45,169.77
23,Formula,0.3984632272228322,0.3576403818041104,0.040822845418721776,0.040822845418721776,0.3400000000000001,136.91
24,Formula,0.8633369923161363,1.0,-0.13666300768386375,0.13666300768386375,1.11,211.61
26,Formula,0.5192096597145993,0.4808667985209391,0.038342861193660205,0.038342861193660205,0.5399999999999999,151.24
27,Formula,0.7908891328210756,0.9668931120474673,-0.17600397922639166,0.17600397922639166,0.9899999999999999,207.76
28,Formula,0.6876985961060721,0.7900937311892681,-0.10239513508319598,0.10239513508319598,0.819078947368421,187.2
29,Formula,0.8210757409440177,0.8512339840055034,-0.030158243061485734,0.030158243061485734,1.04,194.31
31,Formula,0.5554335894621296,0.7729813397540631,-0.21754775029193352,0.21754775029193352,0.6000000000000001,185.21
32,Formula,0.9840834248079037,0.7464098374752773,0.23767358733262633,0.23767358733262633,1.3100000000000003,182.12
33,Formula,0.5071350164654227,0.44836185398572537,0.05877316247969733,0.05877316247969733,0.52,147.46
34,Formula,0.7063666300768386,0.6064149969902829,0.09995163308655575,0.09995163308655575,0.85,165.84
36,Formula,0.40570801317233807,0.47983489551982117,-0.0741268823474831,0.0741268823474831,0.35199999999999987,151.12
37,Formula,0.8548847420417123,0.5674606586980824,0.2874240833436299,0.2874240833436299,1.0959999999999996,161.31
38,Formula,0.5309968114578434,0.47966291168630143,0.05133389977154196,0.05133389977154196,0.5595238095238095,151.1
39,Formula,0.8895476655244754,0.8033364863702812,0.08621117915419418,0.08621117915419418,1.1534144059869036,188.74
