Experiments,Stimuli,Stimuli_efficacy,Inhibitors,Inhibitors_efficacy,Measured_nodes,Measured_values,n_patients,std,drug,mutation_profile
6,FLT3,1,BCL2,1,AUC,108.04,33,86.2,Venetoclax,FLT3_ITD
7,FLT3,1,BTK,1,AUC,167.79,39,57.42,Ibrutinib,FLT3_ITD
8,FLT3,1,SYK,1,AUC,148.28,27,60.53,Entospletinib,FLT3_ITD
9,FLT3,1,"MAP2K1,MAP2K2","1,1",AUC,191.99,41,70.08,Selumetinib,FLT3_ITD
10,FLT3,1,"FLT3,KIT","1,1",AUC,152.07,42,66.82,Midostaurin,FLT3_ITD
11,,,"BCL2,NPM1","1,1",AUC,137.46,38,79.42,Venetoclax,NPM1
12,,,"BTK,NPM1","1,1",AUC,182.31,39,56.66,Ibrutinib,NPM1
13,,,"NPM1,SYK","1,1",AUC,179.55,31,42.83,Entospletinib,NPM1
14,,,"MAP2K1,MAP2K2,NPM1","1,1,1",AUC,215.86,38,83.03,Selumetinib,NPM1
15,,,"FLT3,KIT,NPM1","1,1,1",AUC,214.91,39,46.59,Midostaurin,NPM1
16,,,"BCL2,DNMT3A","1,1",AUC,160.1,21,64.97,Venetoclax,DNMT3A
17,,,"BTK,DNMT3A","1,1",AUC,202.51,24,31.22,Ibrutinib,DNMT3A
18,,,"DNMT3A,SYK","1,1",AUC,182.05,16,36.63,Entospletinib,DNMT3A
19,,,"DNMT3A,MAP2K1,MAP2K2","1,1,1",AUC,205.47,22,67.78,Selumetinib,DNMT3A
20,,,"DNMT3A,FLT3,KIT","1,1,1",AUC,199.81,25,58.15,Midostaurin,DNMT3A
21,DAB2IP,1,BCL2,1,AUC,168.2,41,72.48,Venetoclax,DAB2IP
22,DAB2IP,1,BTK,1,AUC,213.1,47,52.67,Ibrutinib,DAB2IP
23,DAB2IP,1,SYK,1,AUC,197.61,32,50.21,Entospletinib,DAB2IP
