mutation_profile,train_n_exp,train_pearson_r,train_pearson_p,train_mae,train_rmse,test_n_exp,test_pearson_r,test_pearson_p,test_mae,test_rmse,n_patients_mean,n_patients_min,n_patients_max,std_mean,std_min,std_max,n_drugs,drug_level_detail
NRAS,65,0.509,1e-05,0.14,0.183,5,0.923,3e-02,0.119,0.156,42.0,32,47,56.94,42.1,72.48,5,"Venetoclax (n=41, sd=72.48); Ibrutinib (n=47, sd=52.67); Entospletinib (n=32, sd=50.21); Selumetinib (n=44, sd=67.24); Midostaurin (n=46, sd=42.1)"
"FLT3_ITD,NRAS",65,0.508,2e-05,0.152,0.194,5,0.911,3e-02,0.113,0.162,2.0,2,2,68.516,2.35,178.7,5,"Venetoclax (n=2, sd=87.19); Ibrutinib (n=2, sd=36.98); Entospletinib (n=2, sd=37.36); Selumetinib (n=2, sd=178.7); Midostaurin (n=2, sd=2.35)"
NPM1,65,0.529,6e-06,0.142,0.184,5,0.806,1e-01,0.262,0.347,37.0,31,39,61.706,42.83,83.03,5,"Venetoclax (n=38, sd=79.42); Ibrutinib (n=39, sd=56.66); Entospletinib (n=31, sd=42.83); Selumetinib (n=38, sd=83.03); Midostaurin (n=39, sd=46.59)"
FLT3_ITD,65,0.522,8e-06,0.138,0.182,5,0.655,2e-01,0.252,0.306,36.4,27,42,68.21,57.42,86.2,5,"Venetoclax (n=33, sd=86.2); Ibrutinib (n=39, sd=57.42); Entospletinib (n=27, sd=60.53); Selumetinib (n=41, sd=70.08); Midostaurin (n=42, sd=66.82)"
DNMT3A,65,0.523,8e-06,0.141,0.187,5,0.526,4e-01,0.271,0.414,21.6,16,25,51.75,31.22,67.78,5,"Venetoclax (n=21, sd=64.97); Ibrutinib (n=24, sd=31.22); Entospletinib (n=16, sd=36.63); Selumetinib (n=22, sd=67.78); Midostaurin (n=25, sd=58.15)"
"FLT3_ITD,NPM1",65,0.528,6e-06,0.131,0.177,5,0.488,4e-01,0.265,0.343,21.6,19,25,62.398,51.73,72.49,5,"Venetoclax (n=19, sd=64.62); Ibrutinib (n=22, sd=53.52); Entospletinib (n=19, sd=51.73); Selumetinib (n=23, sd=72.49); Midostaurin (n=25, sd=69.63)"
"DNMT3A,NPM1",65,0.561,1e-06,0.135,0.179,5,0.453,4e-01,0.284,0.402,12.2,8,15,45.95,26.24,70.93,5,"Venetoclax (n=10, sd=70.93); Ibrutinib (n=13, sd=32.13); Entospletinib (n=8, sd=26.24); Selumetinib (n=15, sd=50.31); Midostaurin (n=15, sd=50.14)"
"DNMT3A,FLT3_ITD",65,0.519,1e-05,0.144,0.187,5,0.425,5e-01,0.326,0.387,6.6,5,8,51.644,22.41,91.16,5,"Venetoclax (n=5, sd=91.16); Ibrutinib (n=7, sd=38.11); Entospletinib (n=5, sd=22.41); Selumetinib (n=8, sd=70.21); Midostaurin (n=8, sd=36.33)"
No mutation,65,0.636,1e-08,0.134,0.166,5,0.351,6e-01,0.364,0.422,159.2,113,189,58.684,49.46,74.76,5,"Venetoclax (n=139, sd=74.76); Ibrutinib (n=173, sd=52.88); Entospletinib (n=113, sd=49.46); Selumetinib (n=182, sd=62.57); Midostaurin (n=189, sd=53.75)"
"DNMT3A,FLT3_ITD,NPM1",65,0.553,2e-06,0.138,0.182,5,0.286,6e-01,0.408,0.493,24.4,22,26,56.976,47.83,74.95,5,"Venetoclax (n=24, sd=74.95); Ibrutinib (n=24, sd=47.83); Entospletinib (n=22, sd=48.9); Selumetinib (n=26, sd=59.69); Midostaurin (n=26, sd=53.51)"
"DNMT3A,NPM1,NRAS",65,0.577,5e-07,0.138,0.178,5,0.226,7e-01,0.41,0.445,7.0,5,9,82.57,62.79,97.46,5,"Venetoclax (n=5, sd=87.91); Ibrutinib (n=8, sd=62.79); Entospletinib (n=5, sd=80.98); Selumetinib (n=9, sd=97.46); Midostaurin (n=8, sd=83.71)"
"DNMT3A,FLT3_ITD,NPM1,NRAS",65,0.582,4e-07,0.132,0.177,5,0.225,7e-01,0.291,0.472,2.0,2,2,49.16,8.31,130.38,5,"Venetoclax (n=2, sd=50.51); Ibrutinib (n=2, sd=8.31); Entospletinib (n=2, sd=20.73); Selumetinib (n=2, sd=130.38); Midostaurin (n=2, sd=35.87)"
"NPM1,NRAS",65,0.551,2e-06,0.136,0.181,5,0.149,8e-01,0.428,0.48,5.4,4,6,54.53,32.73,109.84,5,"Venetoclax (n=6, sd=109.84); Ibrutinib (n=6, sd=32.73); Entospletinib (n=4, sd=35.04); Selumetinib (n=5, sd=59.83); Midostaurin (n=6, sd=35.21)"
"DNMT3A,NRAS",0,,,,,0,,,,,7.2,6,8,60.508,42.45,73.06,5,"Venetoclax (n=7, sd=55.66); Ibrutinib (n=8, sd=62.56); Entospletinib (n=6, sd=42.45); Selumetinib (n=8, sd=68.81); Midostaurin (n=7, sd=73.06)"
