gene,row,equation,equation_nras,prev,nras
CCND1,0,! ( DNMT3A | GSK3B ),-,0.1,0.177
CCND1,1,!DNMT3A & !GSK3B & ( CTNNB1 | MYC ),!DNMT3A & !GSK3B & MYC,0.345,0.268
CCND1,2,CTNNB1 & !DNMT3A & !GSK3B & MYC,!DNMT3A | !GSK3B | MYC,0.184,0.555
CCND1,3,CTNNB1 | !DNMT3A | !GSK3B | MYC,-,0.371,-
TP53,0,CDKN2A,-,0.806,0.008
TP53,1,GSK3B & MAPK1,-,0.17,0.958
TP53,2,GSK3B | MAPK1,-,0.024,0.034
STAT5A,0,BTK & FLT3 & MAPK1,-,0.331,0.22
STAT5A,1,BTK | FLT3 | MAPK1,-,0.661,0.012
STAT5A,2,FLT3,-,0.008,0.768
MAP2K1,0,MAP2K1 & !MAPK1,-,0.865,0.126
MAP2K1,1,MAP2K1 | !MAPK1,-,0.135,0.874
CEBPA,0,!CTNNB1 & !FLT3 & !MAPK1 & ( CEBPA | GSK3B | MAP2K1 ),!FLT3 & !MAPK1 & ( CEBPA | GSK3B | MAP2K1 ),0.108,0.015
CEBPA,1,!FLT3,-,0.038,0.739
CEBPA,2,CEBPA & !CTNNB1 & !FLT3 & GSK3B & MAP2K1 & !MAPK1,CEBPA & !FLT3 & GSK3B & MAP2K1 & !MAPK1,0.031,0.003
CEBPA,3,CEBPA | !CTNNB1 | !FLT3 | GSK3B | MAP2K1 | !MAPK1,CEBPA | !FLT3 | GSK3B | MAP2K1 | !MAPK1,0.823,0.243
KIT,0,KIT,!DAB2IP & KIT,1.0,0.843
KIT,1,-,!DAB2IP | KIT,-,0.157
MYC,0,!CEBPA & !FBXW7 & !GSK3B & ( CTNNB1 | FLT3 | MAPK1 ),!CEBPA & !FBXW7 & !GSK3B & ( FLT3 | MAPK1 ),0.621,0.009
MYC,1,!CEBPA & CTNNB1 & !FBXW7 & FLT3 & !GSK3B & MAPK1,!CEBPA & !FBXW7 & FLT3 & !GSK3B & MAPK1,0.001,0.031
MYC,2,!CEBPA | CTNNB1 | !FBXW7 | FLT3 | !GSK3B | MAPK1,!CEBPA | !FBXW7 | FLT3 | !GSK3B | MAPK1,0.299,0.64
MYC,3,MAPK1 & ( !FBXW7 | !GSK3B ),-,0.079,0.32
NPM1,0,!AKT1,-,0.428,0.993
NPM1,1,NPM1,-,0.572,0.007
MAPK1,0,AKT1 & MAP2K1 & MAP2K2 & MAPK1,-,0.292,0.007
MAPK1,1,AKT1 | MAP2K1 | MAP2K2 | MAPK1,-,0.706,0.496
MAPK1,2,FLT3,-,0.002,0.497
FLT3,0,FLT3 & SYK,-,0.118,0.598
FLT3,1,FLT3 | SYK,-,0.332,0.083
FLT3,2,FLT3,-,0.55,0.319
AKT1,0,AKT1 & FLT3,-,0.077,0.368
AKT1,1,AKT1 | FLT3,-,0.639,0.193
AKT1,2,FLT3,-,0.284,0.439
HOXA9,0,!DNMT3A & !NPM1,-,0.141,0.556
HOXA9,1,!DNMT3A | !NPM1,-,0.146,0.011
HOXA9,2,!NPM1,-,0.713,0.433
CDKN2A,0,!DNMT3A & !MYC,-,0.6,0.672
CDKN2A,1,!DNMT3A | !MYC,-,0.346,0.018
CDKN2A,2,NPM1,-,0.054,0.311
DNMT3A,0,DNMT3A,-,0.567,0.859
DNMT3A,1,MYC & STAT5A,-,0.047,0.067
DNMT3A,2,MYC | STAT5A,-,0.386,0.074
BTK,0,!AKT1 & ( BTK | SYK ),-,0.206,0.161
BTK,1,!AKT1 & BTK & SYK,-,0.16,0.001
BTK,2,!AKT1 | BTK | SYK,-,0.634,0.838
FBXW7,0,AKT1 & NPM1,-,0.338,0.189
FBXW7,1,AKT1 | NPM1,-,0.261,0.35
FBXW7,2,NPM1,-,0.401,0.461
GSK3B,0,!AKT1 & !MAPK1 & ( GSK3B | MAP2K1 ),!AKT1 & !MAPK1 & ( DAB2IP | GSK3B | MAP2K1 ),0.153,0.012
GSK3B,1,!AKT1 & GSK3B & MAP2K1 & !MAPK1,!AKT1 & DAB2IP & GSK3B & MAP2K1 & !MAPK1,0.593,0.654
GSK3B,2,!AKT1 | GSK3B | MAP2K1 | !MAPK1,!AKT1 | DAB2IP | GSK3B | MAP2K1 | !MAPK1,0.013,0.007
GSK3B,3,!AKT1,-,0.241,0.327
BCL2,0,!GSK3B & MAPK1 & !TP53,-,0.015,0.004
BCL2,1,!GSK3B | MAPK1 | !TP53,-,0.682,0.8
BCL2,2,MAPK1 & !TP53,-,0.304,0.196
MEIS1,0,!DNMT3A & HOXA9,-,0.553,0.64
MEIS1,1,!DNMT3A | HOXA9,-,0.447,0.36
MAP2K2,0,MAP2K2,-,1.0,1.0
SYK,0,SYK,-,1.0,1.0
ETV6,0,!MAPK1,-,1.0,1.0
SOX4,0,!CEBPA,-,1.0,1.0
