subject_id	object_id	subject_id_prefix	object_id_prefix	subject_name	object_name	predicate	Primary_Knowledge_Source	Knowledge_Source	publications	subject_category	object_category	score
P62854	SIGNOR-C286	UNIPROT	SIGNOR	RPS26	40S cytosolic small ribosomal subunit	form complex	SIGNOR	SIGNOR	25901680	protein	complex	0.888
Q14832	P63092	UNIPROT	UNIPROT	GRM3	GNAS	up-regulates activity	SIGNOR	SIGNOR	20055706	protein	protein	0.349
Q13616	SIGNOR-C136	UNIPROT	SIGNOR	CUL1	SCF-SKP2	form complex	SIGNOR	SIGNOR	15340381	protein	complex	0.945
Q86YC2	Q9Y253	UNIPROT	UNIPROT	PALB2	POLH	up-regulates	SIGNOR	SIGNOR	24485656	protein	protein	0.537
CHEBI:93773	P10398	ChEBI	UNIPROT	2-chloro-5-(2-phenyl-5-pyridin-4-yl-1H-imidazol-4-yl)phenol	ARAF	down-regulates	SIGNOR	SIGNOR	12970777	chemical	protein	0.8
P68400	P37840	UNIPROT	UNIPROT	CSNK2A1	SNCA	down-regulates activity	SIGNOR	SIGNOR	10617630	protein	protein	0.513
Q9UL26	SIGNOR-C246	UNIPROT	SIGNOR	RAB22A	Early Endosome	form complex	SIGNOR	SIGNOR	19924646	protein	complex	0.48
P16298	Q13469	UNIPROT	UNIPROT	PPP3CB	NFATC2	up-regulates activity	SIGNOR	SIGNOR	11030334	protein	protein	0.614
P17252	P08670	UNIPROT	UNIPROT	PRKCA	VIM	down-regulates quantity by destabilization	SIGNOR	SIGNOR	2500966	protein	protein	0.284
P09601	SIGNOR-PH2	UNIPROT	SIGNOR	HMOX1	Apoptosis	down-regulates	SIGNOR	SIGNOR	21037234	protein	phenotype	0.7
Q92754	P29373	UNIPROT	UNIPROT	TFAP2C	CRABP2	up-regulates quantity by expression	SIGNOR	SIGNOR	17187826	protein	protein	0.25
CHEBI:135686	P41145	ChEBI	UNIPROT	alvimopan	OPRK1	down-regulates activity	SIGNOR	SIGNOR	18313920	chemical	protein	0.8
Q15120	P08559	UNIPROT	UNIPROT	PDK3	PDHA1	down-regulates activity	SIGNOR	SIGNOR	11485553	protein	protein	0.871
P43694	P81172	UNIPROT	UNIPROT	GATA4	HAMP	up-regulates quantity by expression	SIGNOR	SIGNOR	21609320	protein	protein	0.2
Q9ULW0	P52732	UNIPROT	UNIPROT	TPX2	KIF11	down-regulates activity	SIGNOR	SIGNOR	26018074	protein	protein	0.498
P47914	SIGNOR-C287	UNIPROT	SIGNOR	RPL29	60S cytosolic large ribosomal subunit	form complex	SIGNOR	SIGNOR	25901680	protein	complex	0.863
