EndPathways	QueryNode	EndNode	Path_String	relations_path	Path_Score	Path_Length	Final_Effect	Effect	n	mean	sd	zscore
ACROSOME_ASSEMBLY	DYDC1	ACROSOME_ASSEMBLY	DYDC1-->ACROSOME_ASSEMBLY	SIGNOR-263881	0.3	1	1	up-regulates	7369	2.9992672004342515	0.04447797537521095	-60.68772640084339
ACROSOME_ASSEMBLY	KATNAL2	ACROSOME_ASSEMBLY	KATNAL2-->ACROSOME_ASSEMBLY	SIGNOR-267179	0.3	1	1	up-regulates	7369	2.9992672004342515	0.04447797537521095	-60.68772640084339
ACTIN_CYTOSKELETON_REORGANIZATION	MAPK8IP2	ACTIN_CYTOSKELETON_REORGANIZATION	MAPK8IP2-->MAPK8-->ACTIN_CYTOSKELETON_REORGANIZATION	SIGNOR-70860;SIGNOR-258976	0.663	2	1	up-regulates	14425	2.2513375389948007	0.7183835306316694	-2.2109882413342454
ACTIN_CYTOSKELETON_REORGANIZATION	NGEF	ACTIN_CYTOSKELETON_REORGANIZATION	NGEF-->RHOA-->ROCK1-->ACTIN_CYTOSKELETON_REORGANIZATION	SIGNOR-260562;SIGNOR-196740;SIGNOR-258975	0.841	3	1	up-regulates	14425	2.2513375389948007	0.7183835306316694	-1.9632097324874658
ACTIN_CYTOSKELETON_REORGANIZATION	MAPK8	ACTIN_CYTOSKELETON_REORGANIZATION	MAPK8-->ACTIN_CYTOSKELETON_REORGANIZATION	SIGNOR-258976	0.3	1	1	up-regulates	14425	2.2513375389948007	0.7183835306316694	-2.716289357690319
ACTIN_CYTOSKELETON_REORGANIZATION	MAP3K7	ACTIN_CYTOSKELETON_REORGANIZATION	MAP3K7-->MAP2K4-->MAPK8-->ACTIN_CYTOSKELETON_REORGANIZATION	SIGNOR-50618;SIGNOR-249654;SIGNOR-258976	0.784	3	1	up-regulates	14425	2.2513375389948007	0.7183835306316694	-2.042554535882221
ACTIN_CYTOSKELETON_REORGANIZATION	MYD88	ACTIN_CYTOSKELETON_REORGANIZATION	MYD88-->TRAF6-->TAB1-->P38-->ACTIN_CYTOSKELETON_REORGANIZATION	SIGNOR-260160;SIGNOR-205455;SIGNOR-205440;SIGNOR-254360	0.702	4	1	up-regulates	14425	2.2513375389948007	0.7183835306316694	-2.156699691643097
ACTIN_CYTOSKELETON_REORGANIZATION	ARHGAP10	ACTIN_CYTOSKELETON_REORGANIZATION	ARHGAP10--|RHOA-->MAPK8-->ACTIN_CYTOSKELETON_REORGANIZATION	SIGNOR-260465;SIGNOR-258974;SIGNOR-258976	0.821	3	-1	down-regulates	14425	2.2513375389948007	0.7183835306316694	-1.9910500143803622
ACTIN_CYTOSKELETON_REORGANIZATION	MAP3K1	ACTIN_CYTOSKELETON_REORGANIZATION	MAP3K1-->MAP2K7-->MAPK8-->ACTIN_CYTOSKELETON_REORGANIZATION	SIGNOR-51207;SIGNOR-51203;SIGNOR-258976	0.841	3	1	up-regulates	14425	2.2513375389948007	0.7183835306316694	-1.9632097324874658
ACTIN_CYTOSKELETON_REORGANIZATION	DUSP4	ACTIN_CYTOSKELETON_REORGANIZATION	DUSP4--|MAPK8-->ACTIN_CYTOSKELETON_REORGANIZATION	SIGNOR-27756;SIGNOR-258976	0.585	2	-1	down-regulates	14425	2.2513375389948007	0.7183835306316694	-2.3195653407165424
